Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
964.0,957.55,13.32000000000005,3.8110993324729527,10.530120987793634,IT,Keep,37.0887338,7.577268195,1003,55.33399801,37.0887338,14.26021879
958.0,959.83,13.740000000000009,4.363554430254814,7.343906057103004,IT,Keep,38.15987934,11.08597285,1326,50.75414781,38.15987934,22.34877364
954.21,975.425,11.870000000000005,0.7494698167885416,10.261361256367664,IT,Buy,36.16858238,10.72796935,1305,53.10344828,36.16858238,19.64146967
970.0,982.61,20.110000000000014,2.0282361345183872,18.80705738874063,IT,Sell,47.9390175,7.227555054,1771,44.83342744,47.9390175,24.41107621
975.64,992.115,11.0,1.296317713797086,14.393309590916937,IT,Buy,34.62804477,11.58657011,1519,53.78538512,34.62804477,19.81813359
993.24,991.935,17.851,1.288091942878599,19.2880469391591,IT,Keep,31.29525342,8.608205953,1243,60.09654063,31.29525342,10.52861392
996.67,993.135,8.80499999999995,2.2225143482207512,6.30379738004204,IT,Keep,33.64413364,6.993006993,1287,59.36285936,33.64413364,9.647096233
991.27,998.8699999999999,16.040000000000077,2.0104657594688593,16.226846684275976,IT,Keep,36.01449275,11.08695652,1380,52.89855072,36.01449275,20.2053544
996.81,1004.97,6.740000000000009,1.7332855241775469,8.958344874535255,IT,Sell,40.16445288,9.044908286,1581,50.79063884,40.16445288,20.27121805
1007.0,1007.3900000000001,8.530000000000086,3.748298252045328,8.378934974910203,IT,Buy,40.61538462,8.076923077,1300,51.30769231,40.61538462,18.78617937
1008.44,1007.36,7.090000000000032,4.892013934841546,16.792066125594214,IT,Keep,32.78985507,7.971014493,1104,59.23913043,32.78985507,10.74883266
1005.59,1003.135,25.75999999999999,3.031025522566717,10.175430225350961,IT,Keep,34.31034483,10.94827586,1160,54.74137931,34.31034483,18.22384515
1009.27,988.3050000000001,10.809999999999945,1.3038128549256884,17.652691921764834,IT,Sell,36.0,10.18181818,1375,53.81818182,36.0,18.38058496
990.0,988.22,12.620000000000005,1.7265577738742706,8.979854239661718,IT,Keep,32.90870488,9.624911536,1413,57.46638358,32.90870488,14.17547656
993.53,976.515,24.274999999999977,4.449152182233228,14.731944337600073,IT,Sell,31.81818182,8.8794926,946,59.30232558,31.81818182,11.59411562
986.73,972.45,14.850000000000023,2.4529507179720946,11.537547423523671,IT,Sell,32.56150507,12.80752533,1382,54.63096961,32.56150507,20.19350432
969.0,975.4549999999999,18.200000000000045,3.9949797239984126,18.67815069996899,IT,Keep,34.01139138,8.543531326,1229,57.4450773,34.01139138,13.11540263
978.0,976.38,14.350000000000023,4.367930851275432,11.487203783708251,IT,Keep,33.67071525,12.0782726,1482,54.25101215,33.67071525,19.84420905
980.33,1079.545,55.02999999999997,3.19774388762046,10.89613186923981,IT,Buy,39.20485919,10.87796797,3622,49.91717283,39.20485919,22.97774374
