Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
154.26,154.245,1.1800000000000068,4.91001881928853,9.381107176792295,IT,Keep,23.96030246,7.325141777,2116,68.71455577,41.83668863,7.325141777
154.01,153.54039999999998,1.4000000000000057,2.899013115662141,7.428934677845223,IT,Keep,37.55458515,7.336244541,1145,55.10917031,41.82558586,7.336244541
153.63,154.785,1.3899999999999864,2.169423324687875,8.681411884967359,IT,Buy,41.13883557,11.83621241,1563,47.02495202,41.13883557,15.64943
154.18,155.135,0.9300000000000068,4.063734105883672,18.68735833477146,IT,Buy,39.03884134,5.924950625,1519,55.03620803,43.23687976,5.924950625
154.97,155.825,1.2449999999999761,1.6180324311114314,7.022461965131573,IT,Buy,49.42648592,7.40354536,959,43.16996872,49.42648592,15.07174625
155.81,155.97750000000002,2.9000000000000057,0.5067886990323569,12.515140860746868,IT,Keep,33.55102041,7.673469388,1225,58.7755102,41.48836101,7.673469388
156.055,156.26,1.2299999999999898,4.883079808284219,13.762353337842239,IT,Keep,36.69432036,7.913209955,1567,55.39246969,41.24862044,7.913209955
155.97,156.175,1.640100000000018,4.699264771085754,9.904964458374735,IT,Keep,37.94604003,10.53089643,1149,51.52306353,38.63093395,10.53089643
156.35,156.86,0.8700000000000045,4.006761524425138,11.636688624522638,IT,Keep,46.09306409,6.409130817,1139,47.49780509,46.09306409,9.749495332
156.73,158.89,2.3499999999999943,1.8417792405401099,18.423925365525236,IT,Buy,41.08251996,7.098491571,1127,51.81898846,42.06333881,7.098491571
157.9,160.125,1.6400000000000148,3.334571482603707,19.699582923377633,IT,Buy,34.48275862,6.494252874,1740,59.02298851,42.66757752,6.494252874
159.78,160.08999999999997,1.1100000000000136,4.438296758890034,19.45970396661965,IT,Keep,41.27594158,8.301306687,1301,50.42275173,41.27594158,8.716724562
160.42,156.365,2.0600000000000023,3.7761674159498533,18.620897823226976,IT,Sell,42.29217111,7.667473769,1239,50.04035513,42.29217111,8.465288244
156.75,156.385,1.789999999999992,2.979607117823432,18.43641199279911,IT,Keep,35.36697248,21.33027523,2180,43.30275229,35.36697248,28.86569255
156.61,156.52999999999997,2.1899999999999977,2.4062184603037773,17.275493306358293,IT,Buy,40.23715415,9.644268775,1265,50.11857708,40.23715415,10.3638613
