Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
33.61,33.785,0.28999999999999915,4.823128709902153,12.271284982367304,IT,Buy,39.7260274,9.589041096,73,50.68493151,39.7260274,15.48744292
33.72,33.485,0.2700000000000031,3.2209511498190584,13.975995170181545,IT,Sell,28.0,10.0,100,62.0,33.41666667,10.0
33.53,33.585,0.2600000000000051,0.9897732867496046,19.944705217703337,IT,Keep,43.22033898,5.084745763,118,51.69491525,43.22033898,9.973163848
33.58,33.7,0.2552999999999983,2.0984834095896767,9.70175895665966,IT,Keep,37.66233766,7.792207792,77,54.54545455,37.66233766,9.830086577
33.65,33.765,0.28000000000000114,0.9635780514248722,6.526435645588654,IT,Keep,38.15789474,5.263157895,76,56.57894737,38.15789474,5.26754386
33.77,33.715,0.4399999999999977,2.5725779962886826,11.454338546783164,IT,Keep,31.25,3.75,80,65.0,39.66666667,3.75
33.88,33.485,0.38000000000000256,4.744399133576716,13.420503248534553,IT,Sell,32.22222222,11.11111111,90,56.66666667,32.30555556,11.11111111
33.38,33.26,0.28999999999999915,2.423509890587031,18.74424101900656,IT,Keep,43.5483871,3.225806452,62,53.22580645,43.5483871,6.583333337
33.26,33.435,0.2469999999999999,1.211679478771277,10.272553542390462,IT,Buy,33.33333333,10.47619048,105,56.19047619,33.33333333,10.86904763
33.4,33.57,0.1700000000000017,4.338723839397748,8.88357612726994,IT,Buy,28.75,3.75,80,67.5,39.66666667,3.75
33.6,33.595,0.21000000000000085,0.8068497688126941,11.97435083702078,IT,Keep,45.78313253,4.819277108,83,49.39759036,45.78313253,12.00502008
33.59,33.635,0.3100000000000023,4.243471181749504,12.905614992102898,IT,Keep,39.37007874,3.937007874,127,56.69291339,39.4796588,3.937007874
33.72,33.629999999999995,0.4399999999999977,2.127713664234742,13.93750407609341,IT,Keep,36.26373626,13.18681319,91,50.54945055,36.26373626,19.22069597
33.51,34.135000000000005,0.38000000000000256,0.9529558204896715,5.578182898662072,IT,Keep,28.57142857,5.194805195,77,66.23376623,38.22186147,5.194805195
34.02,34.400000000000006,0.4099999999999966,3.8111378549356623,8.895507074188869,IT,Sell,44.27480916,6.870229008,131,48.85496183,44.27480916,14.59860051
34.45,34.489999999999995,0.42499999999999716,1.2125022353884958,15.443970861071085,IT,Keep,35.17060367,9.973753281,381,54.85564304,35.17060367,11.70144358
34.4,34.515,0.5670000000000002,2.793345597595448,7.982188230997732,IT,Keep,25.0,6.382978723,188,68.61702128,37.03368795,6.382978723
34.73,34.34,0.4399999999999977,3.7857160477135325,6.397604006503637,IT,Sell,28.64864865,6.486486486,185,64.86486486,36.93018018,6.486486486
34.41,34.29,0.529999999999994,0.9033713495851579,17.853109801652245,IT,Sell,43.65079365,9.523809524,126,46.82539683,43.65079365,19.28174603
34.15,34.18,0.5556000000000054,0.9048902972422525,13.64744222591766,IT,Keep,38.63636364,2.272727273,88,59.09090909,41.1439394,2.272727273
34.32,34.065,0.28000000000000114,4.209760405035532,15.768010852893164,IT,Sell,50.76923077,7.692307692,130,41.53846154,50.76923077,22.73717949
33.98,34.455,0.46999999999999886,4.832521906803535,13.988408343574202,IT,Buy,22.44897959,7.142857143,98,70.40816327,36.27380953,7.142857143
34.29,34.379999999999995,0.480000000000004,4.116403914052023,6.189866010559346,IT,Keep,45.03816794,5.34351145,131,49.61832061,45.03816794,12.30852418
34.55,34.375,0.4631000000000043,2.0636972995424023,16.53559154401097,IT,Keep,34.31372549,8.823529412,102,56.8627451,34.59313726,8.823529412
34.28,34.39,0.30000000000000426,1.7612130863041449,8.880310589859985,IT,Keep,29.67032967,10.98901099,91,59.34065934,32.42765568,10.98901099
34.37,34.36,0.2652999999999963,4.162547519729003,10.068743076856654,IT,Keep,34.56790123,7.407407407,81,58.02469136,36.00925925,7.407407407
34.32,34.17,0.44899999999999807,0.5008041942896678,7.912194132973692,IT,Keep,34.88372093,6.976744186,86,58.13953488,36.43992248,6.976744186
34.29,34.025000000000006,0.4200000000000017,4.260984796403819,11.865398013203361,IT,Sell,35.55555556,6.666666667,90,57.77777778,36.75000001,6.666666667
34.06,33.905,0.38000000000000256,3.848921316493142,10.681906861501494,IT,Keep,37.25490196,2.941176471,102,59.80392157,40.4754902,2.941176471
33.86,33.95,0.35999999999999943,0.6644648322564468,15.617533460854197,IT,Keep,38.58267717,4.724409449,127,56.69291339,38.69225723,4.724409449
33.86,34.04,0.5600000000000023,1.2599190659453863,5.29621148729782,IT,Keep,26.73796791,27.80748663,187,45.45454545,26.73796791,38.93627452
33.97,35.96,0.8400000000000034,4.083209999163127,9.735157977535202,IT,Buy,34.45065177,9.124767225,537,56.42458101,34.45065177,9.28351955
36.04,35.9,0.509999999999998,4.966652104415393,17.228040229779346,IT,Keep,41.99507389,6.034482759,812,51.97044335,41.99507389,10.64737274
35.9,36.215,0.6099999999999994,3.865616034734689,18.89415994349558,IT,Buy,29.03225806,14.83870968,310,56.12903226,29.03225806,15.29301075
