Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
145.35,146.735,0.8599000000000103,0.9182908060080273,19.891950333017554,IT,Sell,28.51010101,6.388888889,3960,65.1010101,30.67050308,6.388888889
146.69,146.74,0.9099999999999966,1.7403688994948678,14.001530365888025,IT,Keep,29.10294453,6.459712394,4381,64.43734307,30.59967957,6.459712394
147.0,146.7,1.0600000000000023,3.9145168321611252,7.679946110279995,IT,Keep,29.58899338,10.46673633,5742,59.94427029,29.58899338,13.46307407
146.68,146.56,0.5300000000000011,4.0953495609749,9.04231808188462,IT,Keep,27.91912767,5.043162199,4402,67.03771013,32.01622977,5.043162199
146.64,146.945,1.4399999999999977,2.9110779885620044,10.091963666772816,IT,Keep,24.80620155,9.689922481,3612,65.50387597,27.36946949,9.689922481
146.5,148.10500000000002,1.299999999999983,3.596244922231915,6.902434667285262,IT,Buy,23.72479241,6.524317912,843,69.75088968,30.53507406,6.524317912
147.71,148.01,1.1899999999999977,2.2918460559010994,9.678818485256365,IT,Keep,26.76136364,5.965909091,5280,67.27272727,31.09348289,5.965909091
148.4,147.29500000000002,1.1199999999999761,0.7368530577086656,19.098370182501174,IT,Buy,27.14661984,4.846356453,5695,68.00702371,32.21303552,4.846356453
147.56,147.29,0.9099999999999966,3.257905424036794,16.92736304429087,IT,Keep,24.14778137,4.70386593,5251,71.14835269,32.35552604,4.70386593
147.48,147.025,1.1599999999999966,1.3942974970590793,11.076653055110866,IT,Keep,21.18728266,4.719324391,4026,74.09339295,32.34006758,4.719324391
147.22,146.58499999999998,0.9399999999999977,3.584661724672788,14.973329866358752,IT,Sell,34.67700916,6.815869786,7864,58.50712106,34.67700916,11.24935675
146.63,158.325,4.280000000000001,2.8724545857500603,18.934762707976464,IT,Buy,26.21448213,6.088778316,7637,67.69673956,30.97061366,6.088778316
157.12,160.35000000000002,1.875,1.112208224304168,11.340800049436439,IT,Buy,31.41019297,5.452746165,10105,63.13706086,31.6066458,5.452746165
159.8,161.57,2.7099999999999795,2.257564856375601,7.0260041038923795,IT,Buy,33.75808665,6.155655754,5101,60.0862576,33.75808665,9.010006179
161.07,160.8,2.969999999999999,4.569469605544254,7.26782866164398,IT,Keep,25.53527158,4.958305161,4437,69.50642326,32.10108682,4.958305161
162.05,157.765,4.528999999999996,2.116336076706652,12.834300262337443,IT,Sell,26.82555781,7.986815416,3944,65.18762677,29.07257655,7.986815416
159.65,154.755,3.3100000000000023,0.9505240362250684,11.40246977728895,IT,Sell,25.28712472,7.696957485,4963,67.01591779,29.36243449,7.696957485
156.01,153.95499999999998,1.5800000000000125,2.890961241843749,15.804978114418157,IT,Sell,34.38039351,5.557473248,5794,60.06213324,34.38039351,8.435948033
154.31,154.11,1.718999999999994,4.169855670991925,16.75636318706674,IT,Keep,24.36762226,5.851602024,5930,69.78077572,31.20778995,5.851602024
154.54,154.06,1.8799999999999955,0.6560522756319525,8.862857150844075,IT,Keep,28.3126294,7.919254658,3864,63.76811594,29.14013731,7.919254658
153.76,154.195,2.0,3.159951831589181,5.916470057768548,IT,Keep,25.23913043,5.652173913,4600,69.10869565,31.40721805,5.652173913
154.33,154.065,1.0699999999999932,4.545079436815971,11.279385319797385,IT,Keep,24.37933348,10.19906061,4471,65.4216059,26.86033136,10.19906061
154.1,153.765,1.5800000000000125,1.1506095479344387,19.34947004194506,IT,Keep,29.77416441,9.82836495,5535,60.39747064,29.77416441,12.37150234
154.18,152.5,1.9799999999999898,1.6884861742614787,16.98830004357126,IT,Sell,26.54081066,7.903016842,5403,65.5561725,29.15637514,7.903016842
153.42,151.305,1.539999999999992,3.586839795861806,14.150893636484366,IT,Sell,25.60053381,9.319395018,4496,65.08007117,27.73999695,9.319395018
151.77,151.36,1.009999999999991,2.224633935669128,13.587741031677462,IT,Keep,29.12775681,4.212199483,5033,66.66004371,32.84719249,4.212199483
151.37,150.115,1.9399999999999977,3.494440704582518,7.643706494402882,IT,Sell,29.21143991,3.769218053,6049,67.01934204,33.29017392,3.769218053
149.93,149.905,1.75,4.903307331945059,5.040703623959393,IT,Keep,37.25978648,5.889679715,5620,56.85053381,37.25978648,11.97975393
150.65,148.64,1.0800000000000125,1.3602660970716818,11.40728225582425,IT,Buy,31.25737511,4.706962108,7627,64.03566278,32.35242986,4.706962108
148.88,148.42,1.4799999999999898,2.416930776926272,17.8873995754179,IT,Keep,37.22273264,4.239401496,7619,58.53786586,37.22273264,8.642143661
147.95,147.55,2.4939999999999998,3.106234470927528,7.568147919101827,IT,Keep,31.23995911,6.937344823,6847,61.82269607,31.23995911,8.055256778
148.0,148.425,2.1500000000000057,1.4228138836583313,10.293533555559263,IT,Keep,30.28742316,5.08390098,6019,64.62867586,31.97549099,5.08390098
147.73,149.155,1.3199999999999932,2.1856882639053623,5.868471033435612,IT,Buy,29.51394179,13.19518513,6563,57.29087308,29.51394179,18.84492008
149.34,150.575,2.049999999999983,2.3688687773717367,6.171719698244223,IT,Buy,32.38812583,6.025697829,4514,61.58617634,32.38812583,7.380129514
150.64,151.625,1.25,4.1483378958683215,5.3510461002282845,IT,Buy,29.93772242,6.939501779,4496,63.1227758,30.11989019,6.939501779
151.3,151.885,1.0599999999999739,1.2677949510903552,17.032389136650625,IT,Buy,26.61338661,12.40759241,5005,60.97902098,26.61338661,14.36917946
152.0,151.89499999999998,0.8699999999999761,4.760107993812321,5.463219016786025,IT,Keep,26.28629648,7.488537952,3926,66.22516556,29.57085401,7.488537952
151.95,152.01999999999998,0.8700000000000045,4.1909200435498875,19.66343965547489,IT,Keep,27.28691851,6.525132688,3203,66.1879488,30.53425928,6.525132688
152.06,152.41,1.2300000000000182,4.5387710355803845,6.220728066222485,IT,Keep,30.94536386,6.823849467,4411,62.23078667,30.94536386,7.533670822
152.35,153.18,1.4400000000000261,2.4871703280378616,9.896847728329588,IT,Buy,35.45700604,5.538205288,4803,59.00478867,35.45700604,9.474024643
152.81,153.81,1.329999999999984,3.7264513428691117,17.63650021727841,IT,Buy,31.22797506,5.963675793,3689,62.80834915,31.22797506,6.095934668
153.65,154.57999999999998,2.107500000000016,0.8351960255659663,18.930722387284234,IT,Keep,25.55555556,4.12037037,2160,70.32407407,32.9390216,4.12037037
154.4,156.065,1.7300000000000182,4.369724836850791,6.512020389605021,IT,Buy,28.39050132,5.910290237,3790,65.69920844,31.14910174,5.910290237
155.67,155.89999999999998,2.0600000000000023,3.7431622834256304,7.590890690467374,IT,Keep,26.40586797,5.965770171,4090,67.62836186,31.0936218,5.965770171
156.45,154.89499999999998,2.1299999999999955,3.6537330208554533,17.68347619693046,IT,Sell,35.86805556,6.840277778,5760,57.29166667,35.86805556,12.48921913
155.69,153.8,1.1899999999999977,2.8330431815009858,14.47428820989298,IT,Sell,29.22701383,6.23270952,6145,64.54027665,30.82668245,6.23270952
154.03,154.375,1.4799999999999898,4.061772508004105,15.587885788331741,IT,Keep,27.79951556,4.937581517,5367,67.26290293,32.12181046,4.937581517
153.94,155.19,1.3199999999999932,4.897112873359003,12.676376847283183,IT,Buy,25.29427868,4.489460717,3653,70.21626061,32.56993127,4.489460717
154.97,155.97,2.6899999999999977,0.9322469759446435,13.984360145600995,IT,Keep,28.02119421,6.928877114,4907,65.04992867,30.13051485,6.928877114
155.2,155.255,2.8400000000000034,1.7584146982993003,19.765625860304617,IT,Keep,33.51978455,5.489952351,4827,60.9902631,33.51978455,7.440297276
156.6,154.25,1.410000000000025,1.959381690220543,5.166946989754941,IT,Sell,35.00904886,4.524431932,4973,60.4665192,35.00904886,6.998520757
154.5,153.125,1.7700000000000102,1.1831011895645847,10.240867102403326,IT,Sell,25.53819444,4.618055556,5760,69.84375,32.44133641,4.618055556
153.75,153.37,0.9699999999999989,2.8150085961199043,10.0762070797837,IT,Keep,26.07305936,5.0,4380,68.92694064,32.05939198,5.0
153.41,153.6825,1.079999999999984,1.4393783797744473,14.37630977561209,IT,Keep,20.52580331,4.381694255,5135,75.09250243,32.67769771,4.381694255
154.135,153.3,1.1099999999999852,1.206103034542363,10.17705306259674,IT,Sell,27.77260019,5.987884436,4292,66.23951538,31.07150754,5.987884436
153.65,152.33499999999998,1.9699999999999989,3.173888762337604,16.040515225896396,IT,Sell,30.58886224,8.95283773,3753,60.45830003,30.58886224,11.43514573
153.17,152.10500000000002,1.5,4.387762292762528,16.766372619797977,IT,Sell,30.98375728,7.753600981,3263,61.26264174,30.98375728,9.431567266
151.71,152.67000000000002,1.3600000000000136,3.7973187876637473,8.15707716140928,IT,Buy,31.97628458,7.747035573,2530,60.27667984,31.97628458,10.41096376
152.51,153.04,0.5699999999999932,4.821769117718525,12.398706624167446,IT,Buy,40.93416697,6.178742185,2719,52.88709084,40.93416697,16.23225937
152.95,153.62,0.9200000000000159,2.644353072686622,8.222699282282164,IT,Buy,33.28125,6.6796875,2560,60.0390625,33.28125,9.581233025
153.2,153.795,1.3050000000000068,3.4021388414017264,14.19753860807633,IT,Keep,30.87304935,6.874736398,2371,62.25221426,30.87304935,7.563130163
154.17,154.375,1.2700000000000102,2.8865094105729887,10.81692049485713,IT,Buy,36.56626506,5.060240964,1660,58.37349398,36.56626506,9.627355009
154.5,157.91500000000002,3.4799999999999898,1.7656368566207432,19.97312406397778,IT,Buy,36.56626506,5.060240964,1660,58.37349398,36.56626506,9.627355009
157.34,160.675,2.9536999999999978,4.468880049001836,14.427291541190888,IT,Buy,36.0,7.428571429,175,56.57142857,36.0,13.79775088
159.65,162.465,1.7990000000000066,3.4526575384343303,6.686047476656885,IT,Buy,32.64027343,5.582455141,3511,61.77727143,32.64027343,6.745791736
162.44,163.065,2.2040000000000077,4.596059415573751,19.74247193666769,IT,Keep,31.25770654,6.041923551,3244,62.70036991,31.25770654,6.282161666
162.66,163.865,1.4699999999999989,0.5661456805659708,13.282034628132088,IT,Buy,35.92258749,10.04772004,3772,54.02969247,35.92258749,18.9586356
163.9,163.54500000000002,1.8300000000000125,2.0522491292543807,13.797208097751078,IT,Keep,34.63203463,8.354978355,4620,57.01298701,34.63203463,14.28259937
162.91,164.5,1.6399999999999864,0.8101583626005171,17.119901391758276,IT,Buy,31.99530516,7.136150235,4260,60.8685446,31.99530516,9.20821366
164.8,163.57999999999998,1.710000000000008,4.407580714207064,8.34949682865043,IT,Sell,29.18280008,7.153046668,4907,63.66415325,29.9063453,7.153046668
164.02,164.475,1.9399999999999977,1.7440789221539093,19.938249285952978,IT,Keep,31.37865007,9.717568214,4178,58.90378171,31.37865007,13.75439453
165.1,168.32999999999998,1.865300000000019,2.3699921279674836,7.785289700986159,IT,Buy,30.86003373,5.311973019,7116,63.82799325,31.74741895,5.311973019
168.01,169.56,2.9799999999999898,4.972478443489734,17.345330366356386,IT,Buy,29.06718078,5.739285185,6743,65.19353404,31.3201068,5.739285185
170.0,163.41500000000002,4.099999999999994,2.869825123495775,19.834759064158987,IT,Sell,32.37853032,5.715433008,7471,61.90603668,32.37853032,6.750004353
164.46,162.055,2.869999999999976,4.044170384623978,11.730963448490037,IT,Buy,30.52862058,8.898967782,6394,60.57241164,30.52862058,11.26716417
161.51,164.535,3.75,2.169716849766096,19.233517727610327,IT,Keep,25.01647266,7.533494399,4553,67.45003295,29.52589758,7.533494399
162.82,166.06,3.9000000000000057,1.5257755407523,15.09993676185921,IT,Buy,28.33081408,8.767004967,4631,62.90218095,28.33081408,8.805432042
166.75,165.69,1.5900000000000034,4.941243279737826,15.670477105590212,IT,Sell,27.55709077,8.366916139,5211,64.07599309,28.69247583,8.366916139
165.91,166.73000000000002,1.6242000000000019,4.89963320036569,16.83365642947004,IT,Buy,26.69262384,6.532554618,4623,66.77482154,30.52683736,6.532554618
166.12,167.125,2.3799999999999955,4.384418320210777,5.690070488160054,IT,Buy,30.73852295,9.210151126,3507,60.05132592,30.73852295,12.09943323
167.45,164.91500000000002,3.615000000000009,1.882602323391085,15.659159375816106,IT,Keep,27.4524339,8.574252533,4047,63.97331357,28.48513944,8.574252533
166.21,163.725,2.2290000000000134,3.2257187810236934,12.999568439920086,IT,Keep,30.8329152,6.47265429,3986,62.69443051,30.8329152,6.718831805
