Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
130.16,131.875,1.039999999999992,3.869472243372764,14.069738657200123,Health,Buy,18.25153374,5.214723926,652,76.53374233,27.38446627,5.214723926
131.65,132.64499999999998,1.0800000000000125,0.6206264421806238,7.835145711916635,Health,Buy,17.96042618,5.02283105,657,77.01674277,27.57635915,5.02283105
132.4,133.04,0.9499999999999886,1.0544005948496329,12.29482328916317,Health,Buy,18.06358382,6.502890173,692,75.43352601,26.09630003,6.502890173
132.89,133.11,0.7700000000000102,4.374565523704895,14.890142860286739,Health,Keep,21.28463476,5.793450882,794,72.92191436,26.80573933,5.793450882
133.0,133.555,0.6450000000000102,2.1941847921738793,9.749912636434951,Health,Buy,25.13020833,7.552083333,768,67.31770833,25.13020833,7.635184798
133.66,133.73000000000002,1.210000000000008,0.8601062341319986,17.100569566213032,Health,Keep,14.89361702,4.964539007,705,80.14184397,27.63465119,4.964539007
133.56,135.765,2.710000000000008,0.7074759436053986,10.685981825235551,Health,Buy,22.05882353,3.921568627,612,74.01960784,28.67762158,3.921568627
134.88,136.585,1.5,3.0787076304888297,14.47395429134932,Health,Buy,23.31210191,4.585987261,785,72.10191083,28.01320294,4.585987261
136.34,136.515,1.079999999999984,4.626373856341862,14.24152533608442,Health,Keep,24.33510638,6.117021277,752,69.54787234,26.48216892,6.117021277
136.6,136.285,1.7199999999999989,3.988653168141387,6.146669456603196,Health,Sell,18.95306859,3.068592058,554,77.97833935,29.53059815,3.068592058
136.45,139.23,4.060000000000002,1.7565012826213384,16.647948755110434,Health,Buy,20.76502732,4.098360656,732,75.13661202,28.50082955,4.098360656
137.67,140.735,1.5100000000000193,2.1279664431057785,13.014912527206528,Health,Buy,26.26527051,4.712041885,1146,69.02268761,27.88714833,4.712041885
140.79,141.375,2.444999999999993,0.8087442117102728,7.23016273758071,Health,Keep,16.40316206,2.56916996,1012,81.02766798,30.03002025,2.56916996
140.71,142.39,1.789999999999992,2.526461754255822,11.418050767626514,Health,Buy,20.37037037,4.62962963,864,75.0,27.96956058,4.62962963
142.38,142.875,2.271300000000025,2.4822712505238607,6.215695857073594,Health,Keep,22.1822542,4.676258993,834,73.14148681,27.92293122,4.676258993
142.13,142.51,2.4499999999999886,3.4033932119151444,18.72378440156246,Health,Keep,22.99012694,3.102961918,709,73.90691114,29.49622829,3.102961918
143.38,141.79,2.2706000000000017,4.445440221164551,14.34232674804389,Health,Sell,21.64383562,4.383561644,730,73.97260274,28.21562857,4.383561644
141.16,142.16,2.3700000000000045,2.345660334196677,13.66515272303191,Health,Keep,23.58757062,3.531073446,708,72.88135593,29.06811676,3.531073446
142.51,141.39,2.5,4.825261232281197,17.747358919576627,Health,Keep,18.1425486,4.75161987,463,77.10583153,27.84757034,4.75161987
141.0,140.54000000000002,1.8900000000000148,3.543832701751102,16.335089625673064,Health,Keep,26.61691542,3.980099502,402,69.40298507,28.6190907,3.980099502
141.08,139.715,1.2800000000000011,4.912507090448036,9.13555594702557,Health,Sell,24.12060302,5.695142379,597,70.18425461,26.90404783,5.695142379
140.02,139.905,1.25,1.076325843927395,18.103630224078884,Health,Sell,16.71511628,6.25,688,77.03488372,26.3491902,6.25
139.83,140.02,1.1799999999999784,4.6717634364364065,16.87883071832011,Health,Keep,29.4198895,3.591160221,724,66.98895028,29.4198895,4.003019736
140.11,139.905,1.0999999999999943,4.88276417455341,16.878380543999246,Health,Keep,22.58064516,8.467741935,744,68.9516129,24.13144827,8.467741935
139.73,139.885,0.7700000000000102,1.3814874343264998,7.227104881450279,Health,Keep,21.59763314,7.544378698,676,70.85798817,25.05481151,7.544378698
140.01,139.925,1.240000000000009,3.887290786579905,16.306912361411996,Health,Keep,18.86227545,4.041916168,668,77.09580838,28.55727403,4.041916168
140.08,140.60500000000002,1.6099999999999852,3.958629172367559,13.818005311171836,Health,Keep,24.00548697,9.327846365,729,66.66666667,24.00548697,10.06198949
140.86,139.845,1.5199999999999818,2.7187132864919774,5.334285340405509,Health,Sell,26.41791045,10.14925373,670,63.43283582,26.41791045,14.11722771
140.13,139.385,1.6000000000000227,2.687189205837845,18.696975959398983,Health,Keep,19.1626409,10.62801932,621,70.20933977,21.97117088,10.62801932
139.01,139.53,1.3643000000000143,4.468872732202291,8.242157275301,Health,Keep,24.56608812,10.41388518,749,65.0200267,24.56608812,12.79466827
139.57,139.165,1.0800000000000125,2.7944831161199506,10.274372141547065,Health,Sell,22.5,9.761904762,840,67.73809524,22.83728545,9.761904762
139.23,139.14499999999998,1.0400000000000205,2.4274879256499586,11.67322201815841,Health,Buy,20.0,7.830188679,1060,72.16981132,24.76900152,7.830188679
139.42,138.15,0.9700000000000273,3.408410110462705,16.76338038995455,Health,Sell,22.57398486,8.189951824,1453,69.23606332,24.40923839,8.189951824
138.3,138.04000000000002,0.8199999999999932,3.605779617832505,19.033401827967314,Health,Keep,18.0952381,9.047619048,1050,72.85714286,23.55157117,9.047619048
138.15,138.39499999999998,1.0699999999999932,3.769289737828683,18.904220700939483,Health,Keep,21.88481675,9.738219895,955,68.37696335,22.8609703,9.738219895
138.45,137.79500000000002,1.7800000000000011,2.7630628330790543,11.24621868368482,Health,Sell,25.0,11.73913043,920,63.26086957,25.0,15.87907066
138.3,137.755,1.0699999999999932,3.5868229637230513,19.57544593154489,Health,Sell,27.36196319,9.570552147,815,63.06748466,27.36196319,13.90387728
137.5,137.805,0.8300000000000125,1.7689480476953243,9.919295895992832,Health,Keep,22.62382865,22.08835341,747,55.28781794,22.62382865,34.20134527
137.51,139.16000000000003,2.2783000000000015,2.5767348845845155,15.264585223297063,Health,Keep,23.02052786,23.31378299,682,53.66568915,23.02052786,37.04890364
138.3,140.015,1.6800000000000068,1.5079450444063451,7.952315999287842,Health,Keep,25.52800735,20.84481175,1089,53.6271809,25.52800735,34.61844065
140.22,139.695,1.8000000000000114,3.938531537918231,18.43957189266344,Health,Sell,22.34432234,19.9023199,819,57.75335775,22.34432234,29.54977195
140.06,139.77499999999998,1.9300000000000068,2.2442760557899,8.882703183535911,Health,Keep,19.76450799,12.53153911,1189,67.7039529,20.0676511,12.53153911
139.57,139.815,2.569999999999993,2.555018408262986,10.217807941749554,Health,Keep,23.94540943,16.00496278,806,60.04962779,23.94540943,23.35614478
