Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
130.16,131.875,1.039999999999992,0.5268556327535097,12.337379254881574,Telecommunications,Buy,18.25153374,5.214723926,652,76.53374233,27.38446627,5.214723926
131.65,132.64499999999998,1.0800000000000125,4.8690609207820374,7.2529480224941425,Telecommunications,Buy,17.96042618,5.02283105,657,77.01674277,27.57635915,5.02283105
132.4,133.04,0.9499999999999886,4.1514784647550425,5.894187946845097,Telecommunications,Sell,18.06358382,6.502890173,692,75.43352601,26.09630003,6.502890173
132.89,133.11,0.7700000000000102,4.917364461098975,17.988000597743053,Telecommunications,Keep,21.28463476,5.793450882,794,72.92191436,26.80573933,5.793450882
133.0,133.555,0.6450000000000102,3.0039311697414064,14.122057303805086,Telecommunications,Buy,25.13020833,7.552083333,768,67.31770833,25.13020833,7.635184798
133.66,133.73000000000002,1.210000000000008,1.6921794448905845,13.826373763625405,Telecommunications,Keep,14.89361702,4.964539007,705,80.14184397,27.63465119,4.964539007
133.56,135.765,2.710000000000008,0.8281037662598036,13.887696024297412,Telecommunications,Buy,22.05882353,3.921568627,612,74.01960784,28.67762158,3.921568627
134.88,136.585,1.5,2.609367643789182,6.501269073005682,Telecommunications,Buy,23.31210191,4.585987261,785,72.10191083,28.01320294,4.585987261
136.34,136.515,1.079999999999984,3.982218330693637,14.503396680239717,Telecommunications,Keep,24.33510638,6.117021277,752,69.54787234,26.48216892,6.117021277
136.6,136.285,1.7199999999999989,3.3252265649529416,6.5601545676303115,Telecommunications,Keep,18.95306859,3.068592058,554,77.97833935,29.53059815,3.068592058
136.45,139.23,4.060000000000002,4.511814139481226,19.605543057195863,Telecommunications,Buy,20.76502732,4.098360656,732,75.13661202,28.50082955,4.098360656
137.67,140.735,1.5100000000000193,2.5095534075884953,6.050146065995716,Telecommunications,Buy,26.26527051,4.712041885,1146,69.02268761,27.88714833,4.712041885
140.79,141.375,2.444999999999993,2.8541093186638946,6.905887557412092,Telecommunications,Keep,16.40316206,2.56916996,1012,81.02766798,30.03002025,2.56916996
140.71,142.39,1.789999999999992,0.6189564550709916,13.018824238082752,Telecommunications,Buy,20.37037037,4.62962963,864,75.0,27.96956058,4.62962963
142.38,142.875,2.271300000000025,3.359708595645588,17.296438150194334,Telecommunications,Keep,22.1822542,4.676258993,834,73.14148681,27.92293122,4.676258993
142.13,142.51,2.4499999999999886,1.2807955681345855,6.4373494955083626,Telecommunications,Keep,22.99012694,3.102961918,709,73.90691114,29.49622829,3.102961918
143.38,141.79,2.2706000000000017,2.372104363368113,6.053810139904085,Telecommunications,Sell,21.64383562,4.383561644,730,73.97260274,28.21562857,4.383561644
141.16,142.16,2.3700000000000045,0.6846600629530779,13.00904656418121,Telecommunications,Keep,23.58757062,3.531073446,708,72.88135593,29.06811676,3.531073446
142.51,141.39,2.5,4.996650982068646,7.573360987116963,Telecommunications,Keep,18.1425486,4.75161987,463,77.10583153,27.84757034,4.75161987
141.0,140.54000000000002,1.8900000000000148,4.181506074699726,11.312860747422912,Telecommunications,Keep,26.61691542,3.980099502,402,69.40298507,28.6190907,3.980099502
141.08,139.715,1.2800000000000011,3.5588843039263653,15.073140399824256,Telecommunications,Sell,24.12060302,5.695142379,597,70.18425461,26.90404783,5.695142379
140.02,139.905,1.25,3.006144017722231,15.325000703718226,Telecommunications,Keep,16.71511628,6.25,688,77.03488372,26.3491902,6.25
139.83,140.02,1.1799999999999784,2.5069802688314105,10.034409749446711,Telecommunications,Sell,29.4198895,3.591160221,724,66.98895028,29.4198895,4.003019736
140.11,139.905,1.0999999999999943,3.854092971310413,19.701551768763004,Telecommunications,Buy,22.58064516,8.467741935,744,68.9516129,24.13144827,8.467741935
139.73,139.885,0.7700000000000102,4.813745024627794,10.046413454780183,Telecommunications,Buy,21.59763314,7.544378698,676,70.85798817,25.05481151,7.544378698
140.01,139.925,1.240000000000009,2.830270573562165,9.609910396716185,Telecommunications,Keep,18.86227545,4.041916168,668,77.09580838,28.55727403,4.041916168
140.08,140.60500000000002,1.6099999999999852,4.079480270421813,8.114389845045125,Telecommunications,Keep,24.00548697,9.327846365,729,66.66666667,24.00548697,10.06198949
140.86,139.845,1.5199999999999818,4.884178932792825,14.602963204246448,Telecommunications,Sell,26.41791045,10.14925373,670,63.43283582,26.41791045,14.11722771
140.13,139.385,1.6000000000000227,2.743160154521421,9.305355794699988,Telecommunications,Buy,19.1626409,10.62801932,621,70.20933977,21.97117088,10.62801932
139.01,139.53,1.3643000000000143,4.210984157727857,15.864328360492975,Telecommunications,Keep,24.56608812,10.41388518,749,65.0200267,24.56608812,12.79466827
139.57,139.165,1.0800000000000125,3.207923116585487,12.798844832572588,Telecommunications,Buy,22.5,9.761904762,840,67.73809524,22.83728545,9.761904762
139.23,139.14499999999998,1.0400000000000205,1.6758472067892276,7.465884149109865,Telecommunications,Keep,20.0,7.830188679,1060,72.16981132,24.76900152,7.830188679
139.42,138.15,0.9700000000000273,4.820415183171441,13.108494115996269,Telecommunications,Sell,22.57398486,8.189951824,1453,69.23606332,24.40923839,8.189951824
138.3,138.04000000000002,0.8199999999999932,3.931666127320951,14.431941176947745,Telecommunications,Keep,18.0952381,9.047619048,1050,72.85714286,23.55157117,9.047619048
138.15,138.39499999999998,1.0699999999999932,3.492912446160573,19.709617666795612,Telecommunications,Keep,21.88481675,9.738219895,955,68.37696335,22.8609703,9.738219895
138.45,137.79500000000002,1.7800000000000011,3.4889647844146583,18.086917540726574,Telecommunications,Keep,25.0,11.73913043,920,63.26086957,25.0,15.87907066
138.3,137.755,1.0699999999999932,4.713694757347793,8.180379886370211,Telecommunications,Sell,27.36196319,9.570552147,815,63.06748466,27.36196319,13.90387728
137.5,137.805,0.8300000000000125,4.3277037354871855,19.812164058960104,Telecommunications,Keep,22.62382865,22.08835341,747,55.28781794,22.62382865,34.20134527
137.51,139.16000000000003,2.2783000000000015,2.2735418141738104,18.286784197848448,Telecommunications,Buy,23.02052786,23.31378299,682,53.66568915,23.02052786,37.04890364
138.3,140.015,1.6800000000000068,1.2810462692011235,17.484903779941988,Telecommunications,Buy,25.52800735,20.84481175,1089,53.6271809,25.52800735,34.61844065
