Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
48.72,48.82,0.4200000000000017,2.443060977325677,12.588762856134153,IT,Keep,33.22147651,8.724832215,298,58.05369128,33.22147651,10.12770919
48.95,48.945,0.4299999999999997,3.5683968535592734,5.480967024137555,IT,Keep,31.44654088,9.433962264,159,59.11949686,31.44654088,9.771033654
48.99,48.935,0.5300000000000011,3.0902223692886923,14.301754837458725,IT,Keep,51.17647059,5.294117647,170,43.52941176,51.17647059,21.22127414
48.96,48.519999999999996,0.480000000000004,2.168091024539131,19.224798264676405,IT,Sell,38.0,10.5,200,51.5,38.0,18.45656825
48.64,48.36,0.4099999999999966,3.803833652487376,8.703907055282142,IT,Sell,22.03389831,9.322033898,118,68.6440678,31.22139786,9.322033898
48.36,48.185,0.46000000000000085,2.594700908815797,7.9514429538015925,IT,Keep,24.13793103,9.195402299,87,66.66666667,31.34802945,9.195402299
48.16,48.22,0.3100000000000023,2.9771919064241885,8.887776355631594,IT,Keep,28.57142857,8.163265306,49,63.26530612,32.38016644,8.163265306
48.16,48.25,0.36999999999999744,3.1727433978987274,12.997095152983007,IT,Keep,36.95652174,6.52173913,46,56.52173913,36.95652174,9.45656825
48.27,48.489999999999995,0.38000000000000256,3.593659838897578,11.996398120675618,IT,Buy,32.0,4.0,50,64.0,36.54343175,4.0
48.37,48.735,0.4199999999999946,3.4651503274394337,9.797919704503382,IT,Buy,27.45098039,7.843137255,51,64.70588235,32.70029449,7.843137255
48.61,49.004999999999995,0.5899999999999963,1.3924049744097056,10.961553228679353,IT,Buy,16.92307692,4.615384615,65,78.46153846,35.92804713,4.615384615
48.82,49.54,0.6000000000000014,0.9373591340177346,5.725604179953619,IT,Buy,26.66666667,5.333333333,75,68.0,35.21009842,5.333333333
49.5,49.394999999999996,0.480000000000004,4.703313832644997,13.14977241993594,IT,Keep,27.84810127,7.594936709,79,64.55696203,32.94849505,7.594936709
49.44,49.394999999999996,0.6300000000000026,1.5795244621641964,19.62522942625177,IT,Keep,27.39726027,6.849315068,73,65.75342466,33.69411668,6.849315068
49.54,49.295,0.4399999999999977,3.7570318638427764,19.45279144182154,IT,Sell,26.58227848,7.594936709,79,65.82278481,32.94849504,7.594936709
49.28,49.655,0.8900000000000006,4.38856372827782,14.818300907977727,IT,Keep,18.60465116,9.302325581,86,72.09302326,31.24110617,9.302325581
49.33,49.7975,1.009999999999998,2.5866689693404625,15.716774644642502,IT,Keep,29.11392405,10.12658228,79,60.75949367,30.41684947,10.12658228
49.89,50.129999999999995,0.529999999999994,0.877442757091179,18.769906827511257,IT,Keep,29.89690722,6.18556701,97,63.91752577,34.35786474,6.18556701
50.11,50.585,0.9399999999999977,1.7267754100824948,10.33251170371808,IT,Buy,24.65753425,16.43835616,73,58.90410959,24.65753425,16.99081482
50.29,50.655,0.5150000000000006,0.7656896892499963,7.983755666006304,IT,Buy,26.25,6.25,80,67.5,34.29343175,6.25
50.63,50.815,0.8299999999999983,1.7653417397420674,16.90478434164578,IT,Keep,34.48275862,3.448275862,58,62.06896552,37.09515589,3.448275862
50.73,50.870000000000005,0.6000000000000014,1.6062501879162452,12.811150160427871,IT,Buy,28.37837838,8.108108108,74,63.51351351,32.43532364,8.108108108
51.1,50.41,0.5800000000000054,3.608124668400817,5.74475008573795,IT,Sell,27.27272727,9.090909091,55,63.63636364,31.45252266,9.090909091
50.54,50.269999999999996,0.28000000000000114,1.0404659204776137,16.83202626970518,IT,Buy,18.51851852,5.555555556,54,75.92592593,34.9878762,5.555555556
50.36,50.25,0.5275999999999996,4.986262608016672,7.930158043062314,IT,Keep,25.71428571,7.142857143,70,67.14285714,33.4005746,7.142857143
50.1,50.46,0.5,1.8394778860088552,17.039115059981643,IT,Buy,25.37313433,8.955223881,67,65.67164179,31.58820787,8.955223881
50.43,49.69,1.6799999999999997,2.679157819901233,10.597391825221777,IT,Keep,24.19354839,14.51612903,62,61.29032258,26.02730272,14.51612903
50.14,49.16,0.625,0.5767781119235906,15.977387180645714,IT,Sell,24.67532468,6.493506494,77,68.83116883,34.04992526,6.493506494
49.0,49.25,0.375,0.7270092121298593,8.76293635697105,IT,Buy,24.24242424,16.66666667,66,59.09090909,24.24242424,17.03232583
49.1,49.260000000000005,0.4299999999999997,3.8189548548927723,10.283251990686061,IT,Keep,26.88172043,3.225806452,93,69.89247312,37.3176253,3.225806452
49.32,48.85,0.34500000000000597,4.083373511838312,10.309436111800132,IT,Sell,32.14285714,7.142857143,56,60.71428571,33.4005746,7.142857143
48.88,49.155,0.6099999999999994,4.298091690872384,14.207777120561353,IT,Keep,31.14754098,9.836065574,61,59.01639344,31.14754098,10.27624038
49.11,48.97,0.37999999999999545,3.7274715269772405,12.697906389075655,IT,Keep,36.25,17.5,80,46.25,36.25,30.70656825
49.0,49.03,0.23999999999999488,1.9425573983650022,16.50118322712298,IT,Keep,26.92307692,3.846153846,52,69.23076923,36.6972779,3.846153846
49.04,48.815,0.6000000000000014,4.157416871006546,12.583650399865313,IT,Keep,32.89473684,13.15789474,76,53.94736842,32.89473684,18.66709457
49.0,48.57,0.4099999999999966,2.70374712010102,13.391235104358035,IT,Sell,36.36363636,7.954545455,88,55.68181818,36.36363636,11.72929553
48.56,48.945,0.44000000000000483,1.1099089040117316,13.73182024134747,IT,Buy,21.21212121,4.545454545,66,74.24242424,35.9979772,4.545454545
48.88,48.91,0.46999999999999886,3.69972831662693,18.53451410439395,IT,Keep,26.98412698,1.587301587,63,71.42857143,38.95613016,1.587301587
48.94,48.945,0.3500000000000014,2.8464047342876584,13.479815795812646,IT,Keep,20.3125,20.3125,64,59.375,20.3125,20.39406825
48.88,48.685,0.6599999999999966,3.947449042169594,18.426114618476944,IT,Keep,32.8358209,5.970149254,67,61.19402985,34.5732825,5.970149254
48.85,48.975,0.4399999999999977,3.9228072024603318,9.052333982630234,IT,Sell,46.72897196,13.08411215,107,40.18691589,46.72897196,32.35376451
48.89,49.33,1.1000000000000014,1.2329956533807633,12.453783172718284,IT,Keep,23.52941176,7.352941176,68,69.11764706,33.19049057,7.352941176
49.05,49.11,1.4600000000000009,0.770015968563129,14.635087853287974,IT,Keep,20.58823529,14.70588235,68,64.70588235,25.83754939,14.70588235
49.82,48.1,0.6849999999999952,2.183109775557215,13.776634204913247,IT,Sell,34.14634146,6.097560976,82,59.75609756,34.44587077,6.097560976
48.21,48.150000000000006,0.9549999999999983,2.196505001136911,7.328378493849621,IT,Keep,25.3968254,9.523809524,63,65.07936508,31.01962223,9.523809524
47.88,48.445,0.5100000000000051,1.1041621127517818,9.61393557321189,IT,Keep,18.26923077,10.57692308,104,71.15384615,29.96650867,10.57692308
48.37,49.25,0.9899999999999949,4.337424870333328,6.945833744339122,IT,Buy,23.86363636,5.681818182,88,70.45454545,34.86161356,5.681818182
48.9,50.04,0.9399999999999977,2.1045912944106155,17.005681895533492,IT,Buy,23.27586207,4.310344828,116,72.4137931,36.23308692,4.310344828
49.61,50.195,0.759999999999998,1.3112876859617137,11.959492292083063,IT,Buy,23.35329341,8.982035928,167,67.66467066,31.56139582,8.982035928
50.0,50.19,0.5,3.6487712894010347,7.187210363076767,IT,Sell,33.63636364,4.545454545,110,61.81818182,35.99797721,4.545454545
50.33,50.195,0.46000000000000085,1.2127213665893595,8.374715484159266,IT,Keep,30.92783505,9.278350515,97,59.79381443,31.26508123,9.278350515
