Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
35.67,36.08,0.45000000000000284,2.297064188255669,5.477329404835058,Health,Sell,29.54545455,5.0,220,65.45454545,30.03807367,5.0
36.02,36.07,0.3400000000000034,3.052599336006829,11.488379304344335,Health,Keep,26.5060241,9.036144578,166,64.45783133,26.5060241,9.540239573
36.18,35.94,0.25,0.5893387359357195,6.094858932800623,Health,Sell,22.42647059,3.308823529,272,74.26470588,31.72925014,3.308823529
35.88,36.019999999999996,0.20000000000000284,1.8000068358607413,6.846829751040948,Health,Sell,28.66242038,7.643312102,157,63.69426752,28.66242038,8.910970907
35.99,36.1,0.21999999999999886,4.857588701422567,7.18712431363981,Health,Keep,28.45528455,4.87804878,123,66.66666667,30.16002489,4.87804878
36.06,36.39,0.4799999999999969,3.7290385041184284,7.555663005095588,Health,Buy,17.28395062,4.938271605,162,77.77777778,30.09980207,4.938271605
36.38,36.41,0.27999999999999403,0.6679520898025332,8.556324160685467,Health,Keep,35.38812785,4.337899543,438,60.2739726,35.38812785,9.025853268
36.37,36.415,0.3200000000000003,4.583032565461483,12.40513487876904,Health,Keep,35.13513514,4.504504505,222,60.36036036,35.13513514,9.10607047
36.48,36.355000000000004,0.23560000000000514,4.347768280907705,8.47080171977662,Health,Buy,24.85875706,5.084745763,177,70.05649718,29.95332791,5.084745763
36.37,36.165,0.5999999999999943,1.8614204287562917,19.80075824218812,Health,Buy,25.12315271,4.433497537,203,70.44334975,30.60457613,4.433497537
36.35,36.065,0.5799999999999983,1.7427971198099943,14.842308211038853,Health,Keep,27.31958763,4.12371134,194,68.55670103,30.91436233,4.12371134
35.93,36.04,0.5,1.6005931880280615,11.240158529191088,Health,Keep,28.44827586,1.724137931,232,69.82758621,33.31393574,1.724137931
36.25,36.065,0.5399999999999991,2.047095726391256,11.763558509593311,Health,Sell,22.37442922,3.652968037,219,73.97260274,31.38510563,3.652968037
35.89,36.36,0.39000000000000057,0.6679043896455938,11.871588845054355,Health,Buy,28.5046729,4.205607477,214,67.28971963,30.8324662,4.205607477
36.3,36.349999999999994,0.480000000000004,3.7714227852095634,16.593880561882052,Health,Sell,23.62204724,6.299212598,254,70.07874016,28.73886107,6.299212598
36.3,36.36,0.5399999999999991,4.562602850937041,16.558847838202354,Health,Keep,33.52601156,5.202312139,173,61.2716763,33.52601156,8.892562164
36.45,36.1875,0.4299999999999997,1.5030364229535502,5.258375009704611,Health,Sell,26.11111111,6.111111111,180,67.77777778,28.92696256,6.111111111
36.2,35.915000000000006,0.615000000000002,3.010067402070391,9.767006603661383,Health,Keep,23.78854626,4.405286344,227,71.8061674,30.63278734,4.405286344
36.09,35.565,0.3500000000000014,0.7984559001233257,14.981605506854894,Health,Sell,20.80924855,3.468208092,173,75.72254335,31.56986557,3.468208092
35.53,35.29,0.44999999999999574,2.0382028766941365,8.540083150183145,Health,Sell,24.24242424,7.878787879,165,67.87878788,27.15928579,7.878787879
35.43,35.055,1.2350000000000065,3.7844688265181468,8.339486870937808,Health,Sell,32.45614035,5.701754386,228,61.84210526,32.45614035,8.821575451
35.05,35.135,0.8299999999999983,3.242416579593254,12.283996262112106,Health,Keep,29.23728814,8.474576271,472,62.28813559,29.23728814,11.14836701
35.01,35.365,0.47579999999999956,4.395516253816466,8.30540390123767,Health,Buy,18.6440678,5.508474576,236,75.84745763,29.5295991,5.508474576
35.27,35.5,0.240000000000002,1.0066189590100738,5.1688790518808165,Health,Buy,19.76744186,9.689922481,258,70.54263566,25.34815119,9.689922481
35.45,35.455,0.490000000000002,4.603192017526791,19.25475265810872,Health,Keep,24.22680412,3.092783505,194,72.68041237,31.94529016,3.092783505
35.59,35.33,0.17999999999999972,1.8063218236963983,5.973008222625164,Health,Sell,25.88832487,3.045685279,197,71.06598985,31.99238839,3.045685279
35.3,35.14,0.4099999999999966,4.014074619485628,10.63600340517932,Health,Keep,27.86069652,3.482587065,201,68.65671642,31.55548661,3.482587065
35.08,35.14,0.394999999999996,4.834454782175478,6.44763832658701,Health,Keep,26.59574468,4.255319149,188,69.14893617,30.78275452,4.255319149
35.1,35.26,0.3399999999999963,0.7377394248446214,16.15798252527683,Health,Sell,28.37209302,3.255813953,215,68.37209302,31.78225971,3.255813953
35.22,35.315,0.47990000000000066,2.2460701995531602,7.513432909533964,Health,Keep,33.45454545,3.272727273,275,63.27272727,33.45454545,4.961926328
35.25,35.32,0.2700000000000031,4.2858567048476,10.68318736495186,Health,Sell,16.92913386,4.330708661,254,78.74015748,30.70736501,4.330708661
35.28,35.45,0.3299999999999983,2.2228302920403387,19.475556062996052,Health,Buy,29.1005291,3.703703704,189,67.1957672,31.33436998,3.703703704
35.34,35.37,0.3200000000000003,4.828103708543717,6.331197045031081,Health,Sell,30.36437247,4.453441296,247,65.18218623,30.58463237,4.453441296
35.37,35.365,0.18500000000000227,4.766733451557119,13.805307407414933,Health,Keep,32.52427184,3.398058252,206,64.0776699,32.52427184,4.282314677
35.38,35.47,0.3499999999999943,4.84191775361884,10.396169728822827,Health,Keep,32.41758242,2.747252747,182,64.83516484,32.41758242,2.874014232
35.4,35.44,0.17999999999999972,4.227632458851919,19.93511145495552,Health,Keep,28.39506173,4.938271605,162,66.66666667,30.09980207,4.938271605
35.45,35.5,0.19000000000000483,0.7310360625172929,8.736884306052534,Health,Keep,28.22580645,4.032258065,124,67.74193548,31.0058156,4.032258065
35.51,35.505,0.269999999999996,2.3150397235487827,18.37794906687019,Health,Keep,22.60869565,6.086956522,115,71.30434783,28.95111715,6.086956522
35.52,35.72,0.36999999999999744,3.9127610287914583,15.579646497055977,Health,Buy,24.79338843,4.132231405,121,71.07438017,30.90584227,4.132231405
35.59,36.075,0.5349999999999966,4.854715370735039,16.810760719804293,Health,Buy,24.73867596,8.710801394,287,66.55052265,26.32727228,8.710801394
35.94,36.235,0.3999999999999986,1.229793936763482,17.41276846950816,Health,Sell,29.29936306,7.006369427,157,63.69426752,29.29936306,8.274028232
36.21,36.32,0.490000000000002,1.6038977886429266,17.137255156296632,Health,Keep,17.36842105,4.210526316,190,78.42105263,30.82754735,4.210526316
36.29,36.275000000000006,0.5700000000000003,3.2471036435847127,19.656178171479457,Health,Keep,16.22418879,5.014749263,339,78.76106195,30.02332441,5.014749263
36.49,35.875,0.6750000000000043,2.538489780652637,16.3220683026328,Health,Sell,21.88841202,3.862660944,233,74.24892704,31.17541273,3.862660944
36.12,35.625,0.37000000000000455,2.045491164781006,16.29479361153191,Health,Sell,23.96313364,4.147465438,217,71.88940092,30.89060823,4.147465438
35.69,35.53,0.490000000000002,2.421101423697155,7.627991966264871,Health,Keep,25.74257426,2.475247525,202,71.78217822,32.56282615,2.475247525
35.56,35.53,0.45000000000000284,3.841764082101196,11.752123592192785,Health,Keep,33.78378378,5.405405405,222,60.81081081,33.78378378,9.55652092
35.32,36.0,0.5700000000000003,2.939893645429974,10.857058329383335,Health,Buy,27.06422018,4.587155963,218,68.34862385,30.4509177,4.587155963
35.79,36.47,0.5700000000000003,4.885559206271536,16.690028939168588,Health,Buy,36.39575972,6.713780919,283,56.89045936,36.39575972,14.78524788
36.36,36.605000000000004,0.3299999999999983,2.1535366891330385,10.30683352559574,Health,Buy,32.61802575,4.291845494,233,63.09012876,32.61802575,6.163643059
36.57,36.56,0.5499999999999972,2.5438038991189384,8.475886220870834,Health,Keep,40.37558685,5.633802817,213,53.99061033,40.37558685,16.60511881
36.66,37.005,0.5150000000000006,1.7992699110201302,6.04497923865299,Health,Buy,38.75968992,10.07751938,258,51.1627907,38.75968992,23.87665501
36.81,37.144999999999996,0.28999999999999915,2.288278894259338,13.229764158651601,Health,Buy,34.64285714,3.928571429,280,61.42857143,34.64285714,7.461926324
